XML-ID,Wikidata_ID,Viaf ID,NHRP ID,Given Name,Surname,Name,Year of Birth,Year of Death,Lifespan,Country of co=itizenship,Occupation,Instance,Gender,Brief Description
peLKDaa,Q1398814,2898059,pl00000000005561,LUDVIG KRISTENSEN,DAA,LUDVIG KRISTENSEN DAA,1809,1877,1809-1877,Norway,politician,human,male,"norsk etnolog, historiker og politiker."
pePMD,,,,PERNILLE [MARIE],DAA,PERNILLE [MARIE] DAA,1821,1911,1821-1911,,,human,,norsk professorhustru.
peAnDa,,,,ANNE [SOFIE],DAAE,ANNE [SOFIE] DAAE,1824,1905,1824-1905,,,human,,norsk asylbestyrerinne.
peChDa,,,,[JOHANNE] CHRISTIANE,DAAE,[JOHANNE] CHRISTIANE DAAE,1798,1863,1798-1863,,,human,,"Susanna Isens tante, søster av Susannas mor Sara Margrethe Daae. "
peJSD,,,,JOHANNE [SIGVARDA],DAAE,JOHANNE [SIGVARDA] DAAE,1835,1899,1835-1899,,,human,,norsk professorhustru.
peJRD,,,,JONAS RAVN,DAAE,JONAS RAVN DAAE,1822,1892,1822-1892,,,human,,norsk offiser.
peLuDa,Q3355854,14672507,pf01038288000010,LUDVIG,DAAE,LUDVIG DAAE,1829,1893,1829-1893,Norway,writer,human,male,"norsk jurist, embetsmann og politiker."
peLDa,Q946290,76417494,pd00000013230763,LUDVIG LUDVIGSEN,DAAE,LUDVIG LUDVIGSEN DAAE,1834,1910,1834-1910,Norway,librarian,human,male,norsk historiker.
peJEb,,311149294283080521393,,JOACHIM,EBBELL,JOACHIM EBBELL,1835,1877,1835-1877,,,human,,sønn av Grimstad-kjøpmann Jørgen Benedix Ebbell og Inger Bie.
peCE,,,,CLARA (Marthe Clarine),EBBELL,CLARA (Marthe Clarine) EBBELL,1830,1897,1830-1897,,,human,,norsk losoldermannshustru (F 1865).
peJosE,Q4945641,,,JOSEPHINE [HORTENSIA NANCY ADELAIDE],ECKARDT,JOSEPHINE [HORTENSIA NANCY ADELAIDE] ECKARDT,1839,1906,1839-1906,Denmark,actor,human,female,dansk skuespillerinne.
peGEd,Q16649149,,,GUSTAF [ELIAS],EDGREN,GUSTAF [ELIAS] EDGREN,1837,1903,1837-1903,Sweden,,human,male,svensk embetsmann.
peEaE,Q5627186,392144783046098480313,,ERIK [WILHELM] AF,EDHOLM,ERIK [WILHELM] AF EDHOLM,1817,1897,1817-1897,Sweden,military personnel,human,male,"svensk offiser, hoffembetsmann og teatersjef."
peAEh,Q18533655,49353133,,[MARIE JOSEPH] AUGUSTE,EHRHARD,[MARIE JOSEPH] AUGUSTE EHRHARD,1861,1933,1861-1933,France,translator,human,male,fransk litteraturhistoriker.
peLE,Q16320150,47513143,,LUDWIG [JULIUS],EISENBERG,LUDWIG [JULIUS] EISENBERG,1858,1910,1858-1910,Austria-Hungary,writer,human,male,tysk forfatter.
peJEk,Q17119577,172365983,,JAHN,EKENÆS,JAHN EKENÆS,1847,1920,1847-1920,Norway,artist,human,male,norsk maler.
peJuEl,Q42298795,40130084,,JULIE,ELIAS,JULIE ELIAS,1866,1945,1866-1945,,salonnière,human,female,tysk skribent.
peJE,Q1712584,139882,,JULIUS,ELIAS,JULIUS ELIAS,1861,1927,1861-1927,Germany,writer,human,male,tysk litteratur- og kunsthistoriker.
peAWJE,Q5710041,87149294093780520761,,AXEL [WILHELM JULIUS],ELMLUND,AXEL [WILHELM JULIUS] ELMLUND,1838,1901,1838-1901,Sweden,actor,human,male,svensk danser og skuespiller.
peCKE,Q15874064,68123452,,CORNELIS KAREL,ELOUT,CORNELIS KAREL ELOUT,1870,1947,1870-1947,Kingdom of the Netherlands,journalist,human,male,nederlandsk journalist.
peKE,Q550125,5739505,pf01052377001192,KRISTIAN [MANDRUP],ELSTER,KRISTIAN [MANDRUP] ELSTER,1841,1881,1841-1881,Norway,writer,human,male,norsk forfatter og forstmann.
peEvE,Q349751,39650884,,EDUARD VON,ENGERTH,EDUARD VON ENGERTH,1818,1897,1818-1897,Austria,teacher,human,male,østerriksk maler og museumsembetsmann.
peAE,Q104437188,115703,,ARMAND,ÉPHRAÏM,ARMAND ÉPHRAÏM,1852,1935,1852-1935,,,human,,fransk litterat (
peDrEr,Q55897045,40132462,,WOLFGANG,ERHARDT,WOLFGANG ERHARDT,1819,1906,1819-1906,,physician,human,male,"tysk lege i Roma (GEBB 8), der han også virket som skandinavenes lege (K&E 1, 308)."
peAEE,Q11957963,46657865,pf01036615027645,ANDREAS EMIL,ERICHSEN/ERIKSEN,ANDREAS EMIL ERICHSEN/ERIKSEN,1841,1913,1841-1913,Norway,historian,human,male,norsk skolemann og historiker.
peErnst,Q572130,80584491,,,,ERNST,1859,1941,1859-1941,German Reich,artist,human,male,"prins av Sachsen-Meiningen, tysk offiser og maler."
peKSAE,Q3422087,34498642,,KRISTIAN [SOPHUS AUGUST],ERSLEV,KRISTIAN [SOPHUS AUGUST] ERSLEV,1852,1930,1852-1930,Denmark,historian,human,male,dansk historiker.
peEssen,Q1779675,221380940,pf01038387001259,[CARL] PETER [PARELIUS],ESSENDROP,[CARL] PETER [PARELIUS] ESSENDROP,1818,1893,1818-1893,Norway,priest,human,male,norsk biskop.
peEt,,,,"(Blanche, f. baronesse Pereira, T. Ethofer og Mareo Ethofer)",ETHOFER,"(Blanche, f. baronesse Pereira, T. Ethofer og Mareo Ethofer) ETHOFER",,,,,,human,,"østerriksk familie, bosatt i Wien."
peEug,Q157130,39510739,,,,EUGÉNIE,1826,1920,1826-1920,Spain,empress consort,human,female,keiserinne av Frankrike.
peEun,Q343018,100215825,,,,EUNAPIOS,0345,,0345-,Ancient Rome,writer,human,male,gresk sofist og historiker.
peOE,Q3430250,6866150325545810090008,,OTTO [FREDERIK THEOBALD],EVENS,OTTO [FREDERIK THEOBALD] EVENS,1826,1895,1826-1895,Denmark,sculptor,human,male,dansk billedhugger.
peHFE,Q5721524,41603181,,HERMAN FREDERIK,EWALD,HERMAN FREDERIK EWALD,1821,1908,1821-1908,Denmark,novelist,human,male,dansk forfatter.
peOvF,Q317507,295910698,,[ADOLPH EDUARD] OTTO VON,FABER DU FAUR,[ADOLPH EDUARD] OTTO VON FABER DU FAUR,1828,1901,1828-1901,Kingdom of Württemberg,painter,human,male,tysk maler.
peWvF,Q94791778,80358433,,WILHELM VON,FABER DU FAUR,WILHELM VON FABER DU FAUR,1819,1885,1819-1885,,military,human,male,tysk offiser.
peWCFa,Q12010635,60146332920618731887,,WILHELM CHRISTIAN,FABRITIUS,WILHELM CHRISTIAN FABRITIUS,1816,1887,1816-1887,Norway,businessperson,human,male,norsk trykkerieier.
peAlBo,Q3365638,222314021,pf01036372009618,ALMA [ISABELLA],FAHLSTRØM,ALMA [ISABELLA] FAHLSTRØM,1863,1946,1863-1946,Norway,actor,human,female,"norsk skuespillerinne, sceneinstruktør og teatersjef."
peJF,Q4579142,187149106009268490652,pd00000011343880,JOHAN [PETER BROUST],FAHLSTRØM,JOHAN [PETER BROUST] FAHLSTRØM,1867,1938,1867-1938,Norway,actor,human,male,norsk skuespiller og teaterleder.
peCFF,Q20033224,,,CHRISTIAN [FREDERIK],FALBE,CHRISTIAN [FREDERIK] FALBE,1828,1896,1828-1896,Denmark,diplomat,human,male,dansk diplomat.
peSFa,,,,SØREN,FALCH,SØREN FALCH,1846,1942,1846-1942,,,human,,norsk kjøpmann.
peFFF,Q7886627,,,FREDERIK FERDINAND,FALKENSTJERNE,FREDERIK FERDINAND FALKENSTJERNE,1854,1896,1854-1896,Denmark,priest,human,male,"dansk høyskoleforstander, politiker og prest."
peAdF,,,,ADOLF,FALKMAN,ADOLF FALKMAN,1837,1903,1837-1903,,,human,,"dansk journalist (i HIS 12k, 655, på basis av K&E 1, 314, feilaktig identifisert som Axel Falkmann)."
peSFal,Q11893231,58611805,,SEVERIN [GABRIEL],FALKMAN,SEVERIN [GABRIEL] FALKMAN,1831,1889,1831-1889,Grand Duchy of Finland,painter,human,male,svensk-finsk maler.
peEF,Q12309374,,,[MORTEN] EDVARD,FALLESEN,[MORTEN] EDVARD FALLESEN,1817,1894,1817-1894,Denmark,military personnel,human,male,"dansk offiser, politiker og teatersjef."
peCF,,157149196534874792135,,CONRAD,FALSEN,CONRAD FALSEN,1847,1898,1847-1898,,,human,,norsk offiser og konsul.
peDFa,,,,DOROTHEA [ELISABETH],FALSEN,DOROTHEA [ELISABETH] FALSEN,1849,1916,1849-1916,,,human,,"Conrad Falsens hustru, Susanna Isens halvsøster. "
peHAF,,,,HENRIK ANTON,FALSEN,HENRIK ANTON FALSEN,1871,1945,1871-1945,,,human,,"norsk konsul, sønn av Conrad og Dorothea Falsen,. "
peMF,,,,MAGDALENA,FALSEN,MAGDALENA FALSEN,1874,1957,1874-1957,,,human,,"datter av Conrad og Dorothea Falsen (Anker 2, 132; F 1900). "
peGFF,Q18503131,226335390,,GEORG [FREDERIK CHRISTOPHER],FASTING,GEORG [FREDERIK CHRISTOPHER] FASTING,1837,1914,1837-1914,Norway,scientist,human,male,norsk skolemann og forfatter.
peEFa,Q3426198,,,ELLEN,FAVORIN,ELLEN FAVORIN,1853,1919,1853-1919,Finland,painter,human,female,finsk malerinne.
peAFa,Q11957969,243625079,pf01038110001114,ANDREAS,FAYE,ANDREAS FAYE,1802,1869,1802-1869,Norway,writer,human,male,norsk prest og historiker.
peTFe,Q7789543,,pd00000015146235,THOMAS [NICOLAY],FEARNLEY,THOMAS [NICOLAY] FEARNLEY,1841,1927,1841-1927,Norway,businessperson,human,male,norsk skipsreder.
peLFe,Q5727185,,,[FREDERIK LAURENTIUS] LORRY,FEILBERG,[FREDERIK LAURENTIUS] LORRY FEILBERG,1858,1917,1858-1917,Denmark,journalist,human,male,"dansk journalist, baker og kabaretdirektør."
peUvF,Q5727276,46277428,,[OLOF OTTO] URBAN VON,FEILITZEN,[OLOF OTTO] URBAN VON FEILITZEN,1834,1913,1834-1913,Sweden,writer,human,male,"svensk offiser, gårdbruker, forfatter og kritiker."
peFeLu,Q3839634,52442649,,LUIGI,FERRI,LUIGI FERRI,1826,1895,1826-1895,Kingdom of Italy,philosopher,human,male,italiensk filosof.
peHvF,Q78792,77107506,,HEINRICH (Freiherr) VON,FERSTEL,HEINRICH (Freiherr) VON FERSTEL,1828,1883,1828-1883,Austria,teacher,human,male,østerriksk arkitekt.
peZF,Q117110,22327203,,ZDENKO (Zdeněk),FIBICH,ZDENKO (Zdeněk) FIBICH,1850,1900,1850-1900,Austria-Hungary,composer,human,male,tsjekkisk komponist.
peAF,Q5729628,35454566,,[JOHAN] ANDREAS [NEERGAARD],FIBIGER,[JOHAN] ANDREAS [NEERGAARD] FIBIGER,1868,1937,1868-1937,Denmark,writer,human,male,dansk prest.
peFrFr,Q108825,19930180,,FRIEDRICH,FIEDLER,FRIEDRICH FIEDLER,1859,1917,1859-1917,Russian Empire,writer,human,male,"tysk lærer, sceneforfatter og oversetter (DBI 3. utg.;"
peJCHF,Q5731579,21837237,,JOHAN CHRISTIAN HENRIK,FISCHER,JOHAN CHRISTIAN HENRIK FISCHER,1814,1885,1814-1885,Denmark,politician,human,male,dansk minister.
peSFi,Q95541,76445177,,SAMUEL,FISCHER,SAMUEL FISCHER,1859,1934,1859-1934,Germany,publisher,human,male,tysk forlagsbokhandler.
peFist,,72121416,,GUSTAV [CHRISTIAN JACOB PIERRE NESTOR],FISTAINE,GUSTAV [CHRISTIAN JACOB PIERRE NESTOR] FISTAINE,1820,1886,1820-1886,,,human,,dansk språkmann.
peLFi,Q4948162,44350413,,LAURA [MATHILDA BERNHARDINA],FITINGHOFF,LAURA [MATHILDA BERNHARDINA] FITINGHOFF,1848,1908,1848-1908,Sweden,writer,human,female,"svensk forfatterinne, mor til Rosa Fitinghoff. "
peRFi,Q1120787,62017993,,[LAURA MATHILDA EDLA] ROSA,FITINGHOFF,[LAURA MATHILDA EDLA] ROSA FITINGHOFF,1872,1949,1872-1949,Sweden,author,human,female,"svensk forfatterinne, datter av Laura Fitinghoff. "
peJHGF,Q6118627,40834455,,JAKOB/JACOB [HENRIK GERHARD],FJELDE,JAKOB/JACOB [HENRIK GERHARD] FJELDE,1859,1896,1859-1896,United States of America,sculptor,human,male,norsk-amerikansk billedhugger.
peWF,Q5732564,9825727,,[AXEL] WILHELM,FLACH,[AXEL] WILHELM FLACH,1857,1920,1857-1920,Sweden,editor,human,male,svensk embetsmann.
peOF,Q3420582,231501527,,OLE [HENRIKSEN],FLADAGER,OLE [HENRIKSEN] FLADAGER,1832,1871,1832-1871,Norway,sculptor,human,male,norsk billedhugger.
peRF,Q40538059,7689149296292680670001,,RICHARD,FLEISCHER,RICHARD FLEISCHER,1849,1937,1849-1937,German Reich,opinion journalist,human,male,tysk redaktør.
peCLFl,,,,CHRISTIAN [LUDVIG],FLOOR,CHRISTIAN [LUDVIG] FLOOR,1819,1899,1819-1899,,,human,,norsk bokhandler.
peCWF,,,,[CHRISTIAN] WILHELM,FOGHT,[CHRISTIAN] WILHELM FOGHT,1837,1922,1837-1922,,,human,,dansk skuespiller og teaterdirektør.
peFGFdC,Q1446800,62342890,,FRANZ GRAF,FOLLIOT DE CRENNEVILLE,FRANZ GRAF FOLLIOT DE CRENNEVILLE,1815,1888,1815-1888,Cisleithania,military personnel,human,male,østerriksk general.
peCFoug,Q4579994,45149294507880522945,,CARL [ANDREAS],FOUGSTAD,CARL [ANDREAS] FOUGSTAD,1806,1871,1806-1871,Norway,politician,human,male,norsk embetsmann og politiker.
peEMF,Q122464,69689129,,ERNST [MORITZ],FRANCKE,ERNST [MORITZ] FRANCKE,1852,1921,1852-1921,Germany,politician,human,male,tysk sosialpolitiker og redaktør.
peFruF,,,,,FRANQUE,FRU VON,,,,,,human,,"tysk husvertinne, ikke identifisert."
peKongF7,Q94941,120722547,,,,FREDERIK 7.,1808,1863,1808-1863,Denmark,monarch,human,male,dansk konge 1848-63.
peFrV,Q550714,5725465,,,,FREDRIK VILHELM 1.,1802,1875,1802-1875,Landgraviate of Hesse-Kassel,sovereign,human,male,kurfyrste av Hessen-Kassel 1847-66.
peGF,Q5859657,,,[JOHAN] GUSTAF,FREDRIKSON,[JOHAN] GUSTAF FREDRIKSON,1832,1921,1832-1921,Sweden,actor,human,male,svensk skuespiller og teaterleder.
peAFr,Q94752512,30296684,,ANNA,FREYTAG,ANNA FREYTAG,1852,1911,1852-1911,,,human,female,tysk forfatterhustru.
peGFr,Q58811,29547947,,GUSTAV,FREYTAG,GUSTAV FREYTAG,1816,1895,1816-1895,Kingdom of Prussia,writer,human,male,"tysk forfatter, kulturhistoriker og journalist."
peFF,Q772701,27831812,,FRIEDRICH,FRIEDLÄNDER,FRIEDRICH FRIEDLÄNDER,1825,1901,1825-1901,Austrian Empire,painter,human,male,østerriksk genremaler.
peCFGF,Q456168,222409941,pf01053257012579,CHRISTIAN [FREDERIK GOTFRIED],FRIELE,CHRISTIAN [FREDERIK GOTFRIED] FRIELE,1821,1899,1821-1899,Norway,contributing editor,human,male,norsk redaktør.
peHFri,Q10982525,172178124,,HERMAN,FRIELE,HERMAN FRIELE,1838,1921,1838-1921,Norway,businessperson,human,male,norsk forretningsmann og naturforsker.
pePF,,,,POVL [PETER JØRGEN],FRIIS,POVL [PETER JØRGEN] FRIIS,1854,1905,1854-1905,,,human,,dansk skuespiller og teaterdirektør.
peJFr,,,,JOHAN,FRIMODT,JOHAN FRIMODT,1859,1935,1859-1935,,,human,,dansk bokhandler.
peHeFr,,,,HENRIETTE [MARIE CHRISTINA],FROMM,HENRIETTE [MARIE CHRISTINA] FROMM,1827,1899,1827-1899,,,human,,østerriksk offisershustru.
peLvFr,,,,LUDWIG [CARL MATTHIAS JOSEF] FREIHERR VON,FROMM,LUDWIG [CARL MATTHIAS JOSEF] FREIHERR VON FROMM,1811,1890,1811-1890,,,human,,østerriksk-ungarsk offiser.
peThF,Q19414322,,pf01037045006994,THEODOR [CHRISTIAN BRUN],FRØLICH,THEODOR [CHRISTIAN BRUN] FRØLICH,1834,1904,1834-1904,Norway,,human,male,norsk oberst og hoffsjef.
peIFu,Q95207517,40141099,,IDA,FULDA,IDA FULDA,1871,,1871-,,actor,human,female,tysk skuespillerinne.
peLF,Q72283,17261212,,LUDWIG [ANTON SALOMON],FULDA,LUDWIG [ANTON SALOMON] FULDA,1862,1939,1862-1939,German Reich,writer,human,male,tysk forfatter.
peLGa,Q114728,273930709,,[JOHANN OTTO] LUDWIG,GABILLON,[JOHANN OTTO] LUDWIG GABILLON,1825,1896,1825-1896,Austrian Empire,stage actor,human,male,tysk skuespiller og regissør.
peGECG,Q5748952,5209153184552427100003,,GOTTLIEB ERNST CLAUSEN,GAD,GOTTLIEB ERNST CLAUSEN GAD,1830,1906,1830-1906,Denmark,bookseller,human,male,dansk bokhandler og forlegger.
peLHG,Q7905807,,,LUDVIG HARALD,GADE,LUDVIG HARALD GADE,1823,1897,1823-1897,Denmark,actor,human,male,dansk danser.
peNWG,Q154632,54332446,,NIELS WILHELM,GADE,NIELS WILHELM GADE,1817,1890,1817-1890,Denmark,conductor,human,male,dansk komponist.
peGGal,Q307,2470550,,GALILEO,GALILEI,GALILEO GALILEI,1564,1642,1564-1642,Grand Duchy of Tuscany,scientist,human,male,italiensk fysiker og astronom.
peGSG,,,,GREGORY SERGEJEVITSJ,GALITZIN,GREGORY SERGEJEVITSJ GALITZIN,1838,1907,1838-1907,,,human,,"russisk fyrste, senator og generalløytnant."
pePiGa,,,,PIETRO,GALLETTI,PIETRO GALLETTI,,,,,,human,,"italiensk teatermann (jf. HU 19, 566)."
peLeGa,Q295090,61559644,,LÉON,GAMBETTA,LÉON GAMBETTA,1838,1882,1838-1882,France,lawyer,human,male,fransk jurist og politiker.
peJCG,,309667840,,JOACHIM [CHRISTIAN],GAMBORG,JOACHIM [CHRISTIAN] GAMBORG,1831,1884,1831-1884,,,human,,norsk jurist og økonom.
peHGa,Q5934177,31595004,,HUGO,GANZ,HUGO GANZ,1862,1922,1862-1922,Germany,journalist,human,male,tysk journalist og forfatter.
peAGa,Q467497,89613088,pf01037030002786,ARNE (Aadne),GARBORG,ARNE (Aadne) GARBORG,1851,1924,1851-1924,Norway,writer,human,male,norsk forfatter og redaktør.
peGGa,Q539,100192194,,GIUSEPPE,GARIBALDI,GIUSEPPE GARIBALDI,1807,1882,1807-1882,French Third Republic,writer,human,male,italiensk nasjonalist og geriljaleder.
peFGa,Q5752315,4840152637772920220008,pf01037045026564,FREDRIK [TORP],GARMANN,FREDRIK [TORP] GARMANN,1850,1907,1850-1907,Norway,actor,human,male,norsk skuespiller.
peFLG,Q1448090,80765865,,FRANZ LUDWIG,GEHE,FRANZ LUDWIG GEHE,1810,1882,1810-1882,Germany,philanthropist,human,male,tysk forretningsmann og fabrikant.
peALG,,,,ANNA L.,GEELMUYDEN,ANNA L. GEELMUYDEN,1809,1872,1809-1872,,,human,,"norsk trykkerieier (Amdam & Keel 1993-99, b. 2)."
peGaG,Q343550,22187234,,GUSTAF AF,GEIJERSTAM,GUSTAF AF GEIJERSTAM,1858,1909,1858-1909,Sweden,writer,human,male,svensk forfatter.
peGoG,Q10503575,819561,,(GUSTAV) GÖSTA AF,GEIJERSTAM,(GUSTAV) GÖSTA AF GEIJERSTAM,1888,1954,1888-1954,Norway,writer,human,male,svensk-norsk forfatter og maler.
peNGV,,47599849,,[SOFIA EUGENIA HORTENCE] NENNIE,GEIJERSTAM-VALENKAMPH,[SOFIA EUGENIA HORTENCE] NENNIE GEIJERSTAM-VALENKAMPH,1864,1900,1864-1900,,,human,,svensk forfatterhustru.
peGeorgII,Q702749,27084313,,,,GEORG 2.,1826,1914,1826-1914,Germany,sovereign,human,male,hertug av Sachsen-Meiningen og teaterleder.
peBeG,Q1797916,107637654,pf01037045154553,BERNHARD,GETZ,BERNHARD GETZ,1850,1901,1850-1901,Norway,lawyer,human,male,norsk jurist.
peCCG,Q64710942,,pf01038027003846,CHRISTIAN [CHRISTOPHER],GIEBELHAUSEN,CHRISTIAN [CHRISTOPHER] GIEBELHAUSEN,1807,1885,1807-1885,Norway,actor,human,male,dansk-norsk skuespiller og regissør.
peSGi,Q4950025,,pf01038027003847,SIGNE (Georgine Juliane Flemmentine),GIEBELHAUSEN,SIGNE (Georgine Juliane Flemmentine) GIEBELHAUSEN,1811,1879,1811-1879,Denmark-Norway,actor,human,female,dansk-norsk skuespillerinne.
peAG,,,,ARNE,GIVERHOLT,ARNE GIVERHOLT,1882,1939,1882-1939,,,human,,"norsk journalist og pressesekretær (HU 19, 546; NBO PA)."
peJAG,,,,JOHAN [ANDREAS],GJEMS,JOHAN [ANDREAS] GJEMS,,,,,,human,,norsk kontorist.
peAaG,Q17120262,47861442,pd00000000576171,AAGOT,GJEMS,AAGOT GJEMS,1857,1926,1857-1926,Norway,actor,human,female,norsk skuespillerinne og forfatterinne.
peAuG,,,,AUGUSTA,GJERTSEN,AUGUSTA GJERTSEN,1838,1916,1838-1916,,,human,,norsk skolestyrerhustru.
peFG,Q11970071,228250567,pf01053257026743,FREDRIK,GJERTSEN,FREDRIK GJERTSEN,1831,1904,1831-1904,Norway,writer,human,male,norsk skolemann.
peHG,Q5700110,35214550,,HEINRICH,GLÜCKSMANN,HEINRICH GLÜCKSMANN,1864,1947,1864-1947,,writer,human,male,østerriksk journalist og forfatter.
peIMHG,Q4568603,,,ISAK [MOSES HARTVIG],GLÜCKSTADT,ISAK [MOSES HARTVIG] GLÜCKSTADT,1839,1910,1839-1910,Denmark,banker,human,male,dansk bankdirektør.
peJGl,Q4582210,96182638,pf01036392024943,JACOB,GLØERSEN,JACOB GLØERSEN,1852,1912,1852-1912,Norway,artist,human,male,norsk maler og tegner.
peKG,Q5761848,67540294,pf01038027023451,[OLE] KRISTIAN,GLØERSEN,[OLE] KRISTIAN GLØERSEN,1838,1916,1838-1916,Norway,writer,human,male,norsk pedagog og litterat.
peNGl,,,,NANCY [VILHELMINE CATHARINA],GLØERSEN,NANCY [VILHELMINE CATHARINA] GLØERSEN,1842,1931,1842-1931,,,human,,norsk forfatterhustru.
peMGo,Q12326143,,,MARIUS,GODSKESEN,MARIUS GODSKESEN,1861,1937,1861-1937,Denmark,lawyer,human,male,dansk advokat.
peJWGo,Q5879,24602065,,JOHANN WOLFGANG VON,GOETHE,JOHANN WOLFGANG VON GOETHE,1749,1832,1749-1832,Saxe-Weimar-Eisenach,writer,human,male,tysk dikter.
peMAG,Q1926505,100207407,,MEÏR [ARON],GOLDSCHMIDT,MEÏR [ARON] GOLDSCHMIDT,1819,1887,1819-1887,Denmark,writer,human,male,dansk forfatter og politisk skribent.
peEmGo,Q3052714,24722314,,[LOUIS JEAN] EMMANUEL,GONZALÉS,[LOUIS JEAN] EMMANUEL GONZALÉS,1815,1887,1815-1887,France,writer,human,male,spansk-fransk romanforfatter.
peCGo,Q5764623,67246101,,[AUGUST HERMAN FERDINAND] CARL,GOOS,[AUGUST HERMAN FERDINAND] CARL GOOS,1835,1917,1835-1917,Denmark,politician,human,male,dansk rettslærd og politiker.
peEGo,Q742371,54239311,,EDMUND [WILLIAM],GOSSE,EDMUND [WILLIAM] GOSSE,1849,1928,1849-1928,United Kingdom,poet,human,male,engelsk forfatter og kritiker.
peEpps,Q41154898,40819605,,NELLIE (Ellen),GOSSE,NELLIE (Ellen) GOSSE,1850,1929,1850-1929,United Kingdom,painter,human,female,engelsk kritikerhustru.
peFGo,Q1457044,25350409,,FRIEDERIKE,GOSSMANN,FRIEDERIKE GOSSMANN,1836,1906,1836-1906,Germany,stage actor,human,female,tysk-østerriksk skuespillerinne.
peRG,Q96796,52499345,,RUDOLF [CARL VON],GOTTSCHALL,RUDOLF [CARL VON] GOTTSCHALL,1823,1909,1823-1909,Kingdom of Prussia,poet lawyer,human,male,tysk forfatter.
peJGTG,Q95383,56621998,,JOHANN GEORG THEODOR,GRAESSE,JOHANN GEORG THEODOR GRAESSE,1814,1885,1814-1885,Germany,librarian,human,male,"tysk bibliotekar (HU 19, 491)."
peFGr,,,,FREDERIKKE [SEVERINE MATTHEA],GRAM,FREDERIKKE [SEVERINE MATTHEA] GRAM,1811,1896,1811-1896,,,human,,norsk offisershustru.
peCKG,,,,CHRISTEN [KNAGENHJELM],GRAN,CHRISTEN [KNAGENHJELM] GRAN,1822,1899,1822-1899,,,human,,norsk kjøpmann.
peFGran,Q55850719,42598911,,FRANZ,GRANDAUR,FRANZ GRANDAUR,1822,1896,1822-1896,,composer,human,male,tysk operaregissør (DBI).
peHJGr,Q26966449,275685192,,HENRIK JØRGEN,GREENSTEEN,HENRIK JØRGEN GREENSTEEN,1833,1895,1833-1895,Denmark,poet,human,male,dansk skolemann og forfatter.
peGreg,Q44011,108675755,,,,"GREGOR FRA NAZIANZ, kalt Teologen",0330,0390,0330-0390,Ancient Rome,poet,human,male,gresk kirkeleder.
peJTG,Q4148414,52451748,,JACK (Jacob) THOMAS,GREIN,JACK (Jacob) THOMAS GREIN,1862,1935,1862-1935,United Kingdom,theatre critic,human,male,nederlandsk-britisk teaterkritiker og teaterleder.
peHuG,Q1635078,79389255,,HUGO,GREINZ,HUGO GREINZ,1873,1946,1873-1946,Austria,writer,human,male,"østerriksk forfatter, journalist og oversetter."
peRiG,Q3430809,64372854,,RICHARD,GRELLING,RICHARD GRELLING,1853,,1853-,Germany,writer,human,male,tysk advokat og forfatter.
peEGr,Q80621,46946549,pf01037028018377,EDVARD [HAGERUP],GRIEG,EDVARD [HAGERUP] GRIEG,1843,1907,1843-1907,Norway,composer,human,male,norsk komponist.
peJG,Q18756079,4069154260738924480008,pf01037324004598,JOHN,GRIEG,JOHN GRIEG,1840,1901,1840-1901,,cellist,human,male,norsk forretningsmann.
peNG,Q2499581,10658838,pf01052295000630,NINA,GRIEG,NINA GRIEG,1845,1935,1845-1935,Norway,composer,human,female,norsk sangerinne og sangpedagog.
peSGM,Q17119654,6155563892513001587,pf01053257045100,SIGNE,GRIEG/GRIEG-MÜLLER,SIGNE GRIEG/GRIEG-MÜLLER,1868,1960,1868-1960,Norway,actor,human,female,norsk skuespillerinne.
peGr,,,,G.G.,GRIMM,G.G. GRIMM,,1865,-1865,,,human,,dansk boktrykker i Slesvig.
peKrGr,,,,KRISTIAN,GRIMSGAARD,KRISTIAN GRIMSGAARD,1862,,1862-,,,human,,norsk bokhandler.
peReGr,Q55850848,69693261,,GÜNTHER VON DER,GROEBEN,GÜNTHER VON DER GROEBEN,1832,1900,1832-1900,,military leader,human,male,tysk offiser og redaktør.
peGro,,,,monsieur,GROS,monsieur GROS,,,,,,human,,ikke identifisert.
peEmGr,Q94759611,3233388,,EMANUEL,GROSSER,EMANUEL GROSSER,1874,1921,1874-1921,,painter,human,male,tysk portrettmaler.
peMGr,Q111373,40141243,,MAX,GRUBE,MAX GRUBE,1854,1934,1854-1934,Germany,actor,human,male,"tysk skuespiller, teaterleder og forfatter."
peTG,Q21711288,96371687,,TONY,GRUBHOFER,TONY GRUBHOFER,1854,1935,1854-1935,Austria,engraver,human,male,østerriksk landskapsmaler og illustratør.
peLGr,Q30049709,,,LAURA,GRUNDTVIG,LAURA GRUNDTVIG,1837,1891,1837-1891,Denmark,,human,female,dansk akademikerhustru.
peNFSGr,Q331893,32788147,,NICOLAI FREDERIK SEVERIN,GRUNDTVIG,NICOLAI FREDERIK SEVERIN GRUNDTVIG,1783,1872,1783-1872,Denmark,writer,human,male,"dansk prest, forfatter og historiker."
peGrae,,,,CARL,GRÆBE,CARL GRÆBE,1851,1930,1851-1930,,,human,,dansk boktrykker.
peAuGr,,,,AUGUST,GRÖBNER,AUGUST GRÖBNER,1860,1914,1860-1914,,,human,,østerriksk kommunemann.
peLuGr,,,,LUDWIG,GRÖBNER,LUDWIG GRÖBNER,1853,1916,1853-1916,,,human,,Ibsens vert i Gossensass.
