XML_ID,Wikidata_ID,Viaf_ID,NHRP_ID,Given_Name,Surname,Name,Year_of_Birth,Year_of_Death,Lifespan,Instance,Gender,Country_of_citizenship,Occupation,Letters_Received,Times_Mentioned,Brief_Description,Spouses_Name,Spouses_ID
peJEL,Q73116903,349148995981259751935,pf01036422004313,JOHANNE [ELEONORE] («Lubben»),LIE,JOHANNE [ELEONORE] («Lubben») LIE,1870,1944,1870-1944,human,female,Norway,actor,0,1,norsk skuespillerinne.,MONS LIE,peMLi
peJLi,Q469681,59124011,pf01052055000682,JONAS [LAURITZ IDEMIL],LIE,JONAS [LAURITZ IDEMIL] LIE,1833,1908,1833-1908,human,male,Norway,"author, lawyer",12,39,norsk advokat og forfatter.,THOMASINE [HENRIETTE] LIE,peTHL
peMBL,,,,MARIE [BIRGITTE],LIE,MARIE [BIRGITTE] LIE,1839,1918,1839-1918,human,female,,married to,0,5,norsk dommerhustru.,,
peMaLie,,,,MARY [HELENE],LIE,MARY [HELENE] LIE,1875,1913,1875-1913,human,female,Norway,pianist,0,1,norsk pianistinne.,,
peMiLi,Q6834673,,pf01037130002621,MICHAEL STRØM,LIE,MICHAEL STRØM LIE,1862,1934,1862-1934,human,male,Norway,envoy,0,1,norsk sendemann.,,
peMLi,Q4992653,289538332,,MONS,LIE,MONS LIE,1864,1931,1864-1931,human,male,Norway,author,1,0,norsk forfatter.,JOHANNE [ELEONORE] («Lubben») LIE,peJEL
peMSL,Q30769,17254253,pf01053257050345,[MARIUS] SOPHUS,LIE,[MARIUS] SOPHUS LIE,1842,1899,1842-1899,human,male,Norway,mathematician,0,1,norsk matematiker.,,
peTHL,Q17119922,,pf01038029000397,THOMASINE [HENRIETTE],LIE,THOMASINE [HENRIETTE] LIE,1833,1907,1833-1907,human,female,,married to,0,7,norsk forfatterhustru.,JONAS [LAURITZ IDEMIL] LIE,peJLi
peFLL,Q4994170,18309250,,FREDERIK LUDVIG,LIEBENBERG,FREDERIK LUDVIG LIEBENBERG,1810,1894,1810-1894,human,male,Denmark,littérateur,0,1,dansk litterat.,,
peJDCL,Q2578997,59850287,,JENS [DANIEL CAROLUS],LIEBLEIN,JENS [DANIEL CAROLUS] LIEBLEIN,1827,1911,1827-1911,human,male,Norway,egyptologist,0,7,norsk egyptolog.,,
peHeL,,,,HEDEVALL [ORDING],LIEUNGH [lyng],HEDEVALL [ORDING] LIEUNGH [lyng],1828,1893,1828-1893,human,male,Norway,telegraph accountant,0,1,norsk apotekmedhjelper og telegrafrevisor.,,
pePL,,,,POUL [DOROTHEUS WINTHER],LIEUNGH [lyng],POUL [DOROTHEUS WINTHER] LIEUNGH [lyng],1827,,1827-,human,male,Norway,merchant,1,0,norsk handelsborger.,,
peELil,Q3051749,,,ELSA,LILLIEHÖÖK,ELSA LILLIEHÖÖK,1877,1951,1877-1951,human,female,Sweden,tennis player,1,0,svensk tennisspiller.,,
peEBL,Q19976164,,,ERIC BERTILSON,LILLIEHÖÖK,ERIC BERTILSON LILLIEHÖÖK,1870,1952,1870-1952,human,male,Sweden,"architect, military officer, furniture designer",1,0,svensk offiser og møbelarkitekt.,,
peCAL,Q5952541,,,CARL ABRAHAM,LIMNELL,CARL ABRAHAM LIMNELL,1825,1882,1825-1882,human,male,Sweden,civil servant,0,2,svensk embetsmann.,[CATHARINA] FREDRIKA LIMNELL,peFL
peFL,Q4962236,795147266577735480119,,[CATHARINA] FREDRIKA,LIMNELL,[CATHARINA] FREDRIKA LIMNELL,1816,1892,1816-1892,human,female,,"married to, salonnière, suffragette",3,5,"svensk embetsmannshustru, salongvertinne og kvinnesaksforkjemper.","P.E. SVEDBOM, CARL ABRAHAM LIMNELL","noID, peCAL"
peLin,,,,LINA,,LINA,,,,human,male,,,0,1,ikke identifisert.,,
pePLi,Q86886,68968459,,PAUL,LINDAU,PAUL LINDAU,1839,1919,1839-1919,human,male,Germany,"author, journalist, theatre manager",4,7,"tysk teaterleder, forfatter og journalist.",,
peAL,Q5953385,12285573,,[JOHAN] AUGUST,LINDBERG,[JOHAN] AUGUST LINDBERG,1846,1916,1846-1916,human,male,Sweden,"actor, theatre manager",30,19,svensk skuespiller og teaterleder.,AUGUSTA [WILHELMINA] LINDBERG,peAWLin
peAWLin,Q4962366,,,AUGUSTA [WILHELMINA],LINDBERG,AUGUSTA [WILHELMINA] LINDBERG,1866,1943,1866-1943,human,female,Sweden,actor,0,4,svensk skuespillerinne.,,
peJaL,Q1677564,221322037,pf01053073022676,JACOB [ALBERT],LINDBOE,JACOB [ALBERT] LINDBOE,1843,1902,1843-1902,human,male,Norway,"lawyer, politician",0,1,norsk jurist og politiker.,,
peALi,Q12300016,,,ANDREAS [CONRAD PUTSCHER],LINDE,ANDREAS [CONRAD PUTSCHER] LINDE,1814,1888,1814-1888,human,male,Denmark,civil servant,1,1,dansk embetsmann.,,
peTLin,,,,TH.,LINDENLAUB,TH. LINDENLAUB,,,,human,male,France,lecturer,0,1,fransk lektor (,,
peGL,Q5957493,14748244,,[KARL] GUSTAF [OSKAR EUGEN],LINDQVIST,[KARL] GUSTAF [OSKAR EUGEN] LINDQVIST,1872,1946,1872-1946,human,male,Sweden,author,1,0,svensk forfatter.,,
peTL,,,,[FRANS] THEODOR,LINDSTRAND,[FRANS] THEODOR LINDSTRAND,1823,1899,1823-1899,human,male,Sweden,diplomat,1,1,"svensk diplomat (Anker 2, 80).",,
peELin,,,,EMMA,LINDSTRÖM,EMMA LINDSTRÖM,,,,human,female,Sweden,actor,0,1,svensk skuespillerinne.,,
peHLi,Q74416,27257467,,HERMANN,LINGG,HERMANN LINGG,1820,1905,1820-1905,human,male,Germany,poet,2,1,tysk dikter.,,
peALin,Q29024284,89594628,,ANTON,LINSMAYER,ANTON LINSMAYER,1827,1886,1827-1886,human,male,Germany,teacher,0,1,tysk skolemann.,,
peNiLi,,,,NINA,LIPINER,NINA LIPINER,1855,,1855-,human,female,,married to,0,1,østerriksk forfatterhustru.,SIEGFRIED LIPINER,peSiLi
peSiLi,Q326460,5732877,,SIEGFRIED,LIPINER,SIEGFRIED LIPINER,1856,1911,1856-1911,human,male,"Austria, Poland","author, librarian",0,1,polsk-østerriksk forfatter og bibliotekar.,,
peJvdL,,,,JAKOB VON DER,LIPPE,JAKOB VON DER LIPPE,1828,1900,1828-1900,human,male,Norway,bank teller,0,1,norsk bankkasserer.,,
peALCL,Q12301575,276981350,,ANDREAS LAURITZ CARL,LISTOV,ANDREAS LAURITZ CARL LISTOV,1817,1889,1817-1889,human,male,Denmark,"vicar, historian, church historian",0,5,dansk prest og kirkehistoriker.,,
peEL,Q52154887,10613491,,EDMUND [ADOLF JOHANNES],LOBEDANZ,EDMUND [ADOLF JOHANNES] LOBEDANZ,1820,1882,1820-1882,human,male,Germany,"author, journalist, translator",1,0,"tysk journalist, forfatter og oversetter.",,
peEFL,Q5962069,224329067,,[ERNST] FERDINAND,LOCHMANN,[ERNST] FERDINAND LOCHMANN,1820,1891,1820-1891,human,male,Norway,doctor,1,0,norsk lege.,,
peHLo,Q1612007,227732382,,HERMANN,LOESCHER,HERMANN LOESCHER,1830,1892,1830-1892,human,male,"Germany, Italy","publisher, bookseller",0,4,tysk-italiensk bokhandler og forlegger.,,
peCL,Q456881,56221667,,CHRISTIAN [JENSEN],LOFTHUS,CHRISTIAN [JENSEN] LOFTHUS,1750,1797,1750-1797,human,male,Norway,,0,1,norsk bondefører.,,
peJL,,,,JOHAN [DAVID],LORANGE,JOHAN [DAVID] LORANGE,1834,1905,1834-1905,human,male,Norway,engineer,1,2,norsk ingeniør.,,
peALo,,,,ANATOLE,LORENTZANI,ANATOLE LORENTZANI,,,,human,male,Italy,landlord,0,3,italiensk husvert.,,
peAuLor,,,,AUG.,LORENZ,AUG. LORENZ,,,,human,male,,librarian,0,2,"bibliotekar i Den Skandinaviske Forening i Roma inntil våren 1867 (HU 19, 486; Knudtzon 1927).",,
peLost,Q7107889,55544895,pg00000000415196,[JOHAN] LUDVIG,LOSTING,[JOHAN] LUDVIG LOSTING,1810,1876,1810-1876,human,male,Norway,"painter, lithographer",0,1,norsk maler og litograf.,,
peJoL,Q105598027,,,JOHAN,LOTHE,JOHAN LOTHE,1855,1932,1855-1932,human,male,Norway,,0,1,norsk apoteker.,,
peAsL,Q19587503,311190566,pf01053299003929,ASTRID,LOUS,ASTRID LOUS,1872,1945,1872-1945,human,female,Norway,"actor, singer, opera singer, pedagog",0,1,"norsk skuespillerinne, operasangerinne og sangpedagog.",,
peLov,Q130413,72150868282722071325,,,,LOVISA (Louise Vilhelmina Fredrika Alexandra Anna),1828,1871,1828-1871,"human, Queen",female,,Queen,0,1,dronning av Norge og Sverige 1859-71.,,
peLovi,Q232402,73149196634374792769,,,,LOVISA (Louise Josefina Eugenia),1851,1926,1851-1926,"human, Queen, Princess",female,Denmark,"Princess, Queen",0,1,dansk kronprinsesse (dronning 1906-26).,,
peANL,,,,ALOIS N.,LUCEK,ALOIS N. LUCEK,1871,1894,1871-1894,human,male,Czechoslovakia,translator,1,0,tsjekkisk oversetter (,,
peLu2,Q44039,64799557,,,,LUDVIG 2.,1845,1886,1845-1886,human,male,Germany,,0,1,tysk monark.,,
peKaLu,,,,KAJ,LUDVIGSEN,KAJ LUDVIGSEN,1879,1902,1879-1902,human,male,,,0,1,"sønn av Sara og Valdemar Ludvigsen, nevø av Susanna Isen (Thoresen 2009, . 1, 16). ",,
peSaLu,,,,SARA,LUDVIGSEN,SARA LUDVIGSEN,1844,,1844-,human,female,,married to,0,5,norsk-dansk forretningsmannshustru.,,
peWaL,,,,VALDEMAR,LUDVIGSEN,VALDEMAR LUDVIGSEN,,,,human,male,Denmark,,0,5,dansk fabrikkeier.,SARA LUDVIGSEN,peSaLu
peAMLP,Q1206754,54187174,,AURÉLIEN [FRANÇOIS] MARIE,LUGNÉ-POË,AURÉLIEN [FRANÇOIS] MARIE LUGNÉ-POË,1869,1940,1869-1940,human,male,France,"actor, theatre manager",2,3,fransk skuespiller og teaterleder.,,
peALu,,,,ALBERT MARINIUS,LUND,ALBERT MARINIUS LUND,1867,1959,1867-1959,human,male,Norway,journalist,1,0,norsk journalist.,,
peCCL,,,,CARL CORNELIUS [CLARIN],LUND,CARL CORNELIUS [CLARIN] LUND,1824,1906,1824-1906,human,male,Norway,"engineer, military officer, engineering officer",0,1,norsk ingeniøroffiser (Strøm 2005).,,
peFSL,Q5499531,,pf01036392092265,FREDRIK STANG,LUND,FREDRIK STANG LUND,1859,1922,1859-1922,human,male,Norway,lawyer,1,0,norsk advokat.,,
peJLu,Q4566367,206061303,pf01036708011279,JOHN [THEODOR],LUND,JOHN [THEODOR] LUND,1842,1913,1842-1913,human,male,Norway,politician,4,2,norsk politiker.,GEORGINE JANSON,noID
peLL,,229856832,,[JOHAN] LUDVIG [MICHAEL],LUND,[JOHAN] LUDVIG [MICHAEL] LUND,1844,1912,1844-1912,human,male,Denmark,"author, zoologist",1,0,dansk zoolog og religionshistorisk forfatter.,,
peMLu,,,,MARIUS,LUND,MARIUS LUND,1852,1931,1852-1931,human,male,Norway,,0,1,norsk bokhandelbetjent (NBO PA).,,
peNL,,,,NILS,LUND,NILS LUND,1835,1914,1835-1914,human,male,Norway,bookseller,95,54,norsk bokhandler.,,
peSLu,Q7512883,87433296,pf01052994016718,SIGNE,LUND,SIGNE LUND,1868,1950,1868-1950,human,female,Norway,"composer, pianist",1,0,norsk komponist og pianistinne.,JØRGEN SKABO,noID
peUL,,,,[ELISE] ULRIKKE,LUND,[ELISE] ULRIKKE LUND,1844,,1844-,human,female,,married to,0,11,norsk bokhandlerhustru.,NILS LUND,peNL
peJLAL,,,,[JOHAN] LORENTZ [ALEXANDER],LUNDGREN,[JOHAN] LORENTZ [ALEXANDER] LUNDGREN,1832,1905,1832-1905,human,male,Sweden,theatre manager,0,2,svensk grossist og teaterleder.,,
peABL,,,,CHRISTOPHER [ANKER BERG],LUNDH,CHRISTOPHER [ANKER BERG] LUNDH,1872,1924,1872-1924,human,male,Norway,military officer,1,0,norsk offiser.,,
peMLut,Q9554,14773105,,MARTIN,LUTHER,MARTIN LUTHER,1483,1546,1483-1546,human,male,Germany,,0,2,tysk kirkereformator.,,
peML,Q4356895,27363638,,MIKAEL,LYBECK,MIKAEL LYBECK,1864,1925,1864-1925,human,male,,author,4,0,finsk forfatter.,,
peMLy,,,,MARIE,LYCHE,MARIE LYCHE,1870,1946,1870-1946,human,male,Norway,,1,0,norsk sykepleierske (NBO PA).,,
peVL,Q4586443,77457007,,[GEORG] VILHELM,LYNG,[GEORG] VILHELM LYNG,1827,1884,1827-1884,human,male,Norway,philosopher,0,1,norsk filosof.,,
peOKL,,,,OLAUS KRABBE,LYSHOLM,OLAUS KRABBE LYSHOLM,1840,1894,1840-1894,human,male,Norway,merchant,1,0,norsk kjøpmann (Berntsen 2005).,,
peGLa,Q4562720,226293865,pf01052721110087,GUSTAV,LÆRUM,GUSTAV LÆRUM,1870,1938,1870-1938,human,male,Norway,"sculptor, illustrator",1,0,norsk tegner og billedhugger.,,
peArLo,Q4588027,90583149,pf01052055075765,ARNE,LØCHEN,ARNE LØCHEN,1850,1930,1850-1930,human,male,Norway,"philosopher, littérateur",0,1,"norsk filosof, psykolog og litteraturforsker.",,
peHvL,Q1613264,52459686,,HERMANN VON,LÖHNER,HERMANN VON LÖHNER,1842,1902,1842-1902,human,male,Austria,"literary historian, littérateur",1,0,østerriksk litteraturhistoriker.,,
peJLo,Q1679208,42607840,,JAKOB [OLAUS],LØKKE,JAKOB [OLAUS] LØKKE,1829,1881,1829-1881,human,male,Norway,"author, schoolbook author, teacher, philologist",2,26,"norsk skolemann, filolog og lærebokforfatter.",,
peMLo,,,,[INGER] MARIE [BIRGITTE],LØKKE,[INGER] MARIE [BIRGITTE] LØKKE,1830,1913,1830-1913,human,female,,married to,0,1,norsk filologhustru.,JAKOB [OLAUS] LØKKE,peJLo
peSoL,Q3200410,267655887,pf01036392054324,SØREN [BLOCH],LAACHE,SØREN [BLOCH] LAACHE,1854,1941,1854-1941,human,male,Norway,doctor,0,2,norsk lege.,,
peHLaa,Q25430940,62145969942232250251,,HERMAN,LAADING,HERMAN LAADING,1813,1894,1813-1894,human,male,Norway,"theatre personnel, headmaster",1,2,norsk teatermann og skolestyrer.,,
pePMa,,,,P. AAGE,MADSEN,P. AAGE MADSEN,1870,,1870-,human,male,Denmark,translator,0,1,dansk oversetter.,,
peJNMad,Q708414,49356879,,JOHAN NICOLAI,MADVIG,JOHAN NICOLAI MADVIG,1804,1886,1804-1886,human,male,Denmark,"politician, philologist",0,2,dansk filolog og politiker.,,
peCDM,Q11963614,,pf01036392235392,CHRISTEN [DAAE],MAGELSSEN,CHRISTEN [DAAE] MAGELSSEN,1841,1940,1841-1940,human,male,Norway,sculptor,1,2,norsk billedhugger.,,
peCFDM,,,,CHRISTIANE [FREDRIKKE],MAGELSSEN,CHRISTIANE [FREDRIKKE] MAGELSSEN,1814,1892,1814-1892,human,female,Norway,teacher,1,0,norsk lærerinne.,,
peEMag,,,,[ADELE] ELVIRA,MAGELSSEN,[ADELE] ELVIRA MAGELSSEN,1857,1913,1857-1913,human,female,,married to,0,1,italiensk-norsk billedhuggerhustru.,,
peTLM,,,,THORBJØRN LECHVE,MAGELSSEN,THORBJØRN LECHVE MAGELSSEN,1817,1905,1817-1905,human,male,Norway,,0,1,norsk politimester.,,
peBMa,,,,BETSY [WILHELMINE ANDREA MARIE],MALLING,BETSY [WILHELMINE ANDREA MARIE] MALLING,1828,1903,1828-1903,human,female,,married to,0,2,norsk boktrykkerhustru.,PETER TIDEMAND MALLING,pePTM
pePTM,Q1571918,15996360,,PETER TIDEMAND,MALLING,PETER TIDEMAND MALLING,1807,1878,1807-1878,human,male,Norway,"publisher, bookseller, book printer",0,1,"norsk boktrykker, bokhandler og forlegger.",,
peJAM,Q762949,19766996,,[JOHAN] AUGUST,MALMSTRÖM,[JOHAN] AUGUST MALMSTRÖM,1829,1901,1829-1901,human,male,Sweden,painter,0,1,svensk maler.,,
peCRLM,Q4993034,34175812,,[CHRISTOFFER RUTGER] LUDVIG,MANDERSTRÖM,[CHRISTOFFER RUTGER] LUDVIG MANDERSTRÖM,1806,1873,1806-1873,human,male,Sweden,"politician, civil servant",0,1,"svensk embetsmann, politiker og boksamler.",,
peMM,Q13426707,,,MIKKEL,MANDT,MIKKEL MANDT,1822,1882,1822-1882,human,male,Norway,painter,0,1,norsk maler.,,
peKALM,Q5975433,,,KRISTIAN [ANDREAS LEOPOLD],MANTZIUS,KRISTIAN [ANDREAS LEOPOLD] MANTZIUS,1819,1879,1819-1879,human,male,Denmark,actor,0,1,dansk skuespiller og oppleser.,,
peAMa,,,,,MAPPES,MAPPES,,,,human,male,Germany,"author, journalist, civil servant",1,0,"muligens Anton Mappes f. 1868, tysk embetsmann som noen år var ansatt i Bayerisches Kulturministerium, og som senere ble forfatter og journalist (Anker 2, 111; DBI 3. utg.).",,
peCMar,Q2947020,15664416,,CESARE,MARIANI,CESARE MARIANI,1826,1901,1826-1901,human,male,Italy,painter,0,1,italiensk genre- og historiemaler (Thieme-Becker).,,
peHMa,Q80348211,,pf01053257056706,HEDVIG [THERESIA FRANCISCA],MARIBO,HEDVIG [THERESIA FRANCISCA] MARIBO,1814,1891,1814-1891,human,female,,married to,0,1,norsk juristhustru.,,
peWAM,Q19398699,,pf01037028008997,WILHELM [ADELSTEN],MARIBO,WILHELM [ADELSTEN] MARIBO,1814,1901,1814-1901,human,male,Norway,lawyer,1,1,norsk jurist.,HEDVIG [THERESIA FRANCISCA] MARIBO,peHMa
peMaBe,Q311850,2521520,,AUGUSTE FERDINAND FRANÇOIS,MARIETTE,AUGUSTE FERDINAND FRANÇOIS MARIETTE,1821,1881,1821-1881,human,male,France,egyptologist,0,1,fransk egyptolog.,,
peMark,,,,,,MARKOS,,,,human,male,,bishop,0,1,biskop i Syria.,,
peMarkus,,,,,,MARKUS,,,,human,male,,,0,1,ikke identifisert. Muligens sønn av Konrad Maurer.,,
peElMa,Q18916715,72154435,,ELISABETH,MARR,ELISABETH MARR,1828,1901,1828-1901,human,female,Germany,author,0,1,tysk forfatterinne.,HEINRICH MARR,peHeMa
peHeMa,Q1598262,20472669,,HEINRICH,MARR,HEINRICH MARR,1797,1871,1797-1871,human,male,Germany,"actor, director",0,1,tysk skuespiller og regissør.,ELISABETH MARR,peElMa
peHLMa,Q552875,67260686,,HANS [LASSEN],MARTENSEN,HANS [LASSEN] MARTENSEN,1808,1884,1808-1884,human,male,Denmark,bishop,0,1,dansk biskop.,,
peCM,,,,CATHRINE,MARTINI,CATHRINE MARTINI,1828,,1828-,human,female,Norway,vicar,1,0,norsk prestedatter (F 1865).,,
peFrkM,,,,"BENNY (f. 1864, d. etter 1940), OTILIA (1866-1955) og THEA (Theodora) (1868-1947)",MATTHIESSEN,"BENNY (f. 1864, d. etter 1940), OTILIA (1866-1955) og THEA (Theodora) (1868-1947) MATTHIESSEN",,,,human,male,Norway,doctor,1,0,døtre av den norske lege Otto Tobias Matthiessen (1815-1900) og Mathilde Claudine Dahl (1823-99) (,,
peKM,Q77626,49718159,,KONRAD [VON],MAURER,KONRAD [VON] MAURER,1823,1902,1823-1902,human,male,Germany,"historian, historian of law",2,5,tysk rettshistoriker.,,
peLM,Q104822,20041664,,LUDWIG,MAURER,LUDWIG MAURER,1859,1927,1859-1927,human,male,Germany,mathematician,0,1,tysk matematiker.,,
peVM,,,,VALERIE,MAURER,VALERIE MAURER,1833,,1833-,human,female,,married to,0,1,tysk professorhustru.,KONRAD [VON] MAURER,peKM
peChMa,Q1090939,42599941,,CHÉRI,MAURICE,CHÉRI MAURICE,1805,1896,1805-1896,human,male,"Germany, France",theatre manager,0,1,fransk-tysk teaterleder.,,
peMaxi,Q248793,71783802,,,,MAXIMOS FRA EFESOS,,0372,-0372,human,male,Greece,,0,1,gresk mystiker.,,
peAnMa,Q18744497,32759095,,ANDREAS,MAY,ANDREAS MAY,1817,1899,1817-1899,human,male,Germany,"lawyer, playwright",0,1,tysk jurist og dramatiker.,,
peJMay,Q77378756,,pg00000000646142,JACOB,MAYSON,JACOB MAYSON,1808,1881,1808-1881,human,male,Denmark,"actor, painter, theatre manager, theatre painter",0,1,"dansk skuespiller, teaterleder og teatermaler.",,
peAM,,,,ALFREDO,MAZZA,ALFREDO MAZZA,,,,human,male,Italy,lawyer,2,2,italiensk jurist.,,
peJRMC,Q1388348,34522756,,JOHN RAMSAY,M’CULLOCH/MAC CULLOCH,JOHN RAMSAY M’CULLOCH/MAC CULLOCH,1789,1864,1789-1864,human,male,United Kingdom of Great Britain and Ireland,economist,0,1,britisk nasjonaløkonom og statistiker.,,
peASM,,,,SOFIE (Anna Sophie),MEGRUND,SOFIE (Anna Sophie) MEGRUND,1839,1920,1839-1920,human,female,,married to,0,1,norsk prestehustru.,,
peCMe,,,,[HANS] CONRAD [THORESEN],MEGRUND,[HANS] CONRAD [THORESEN] MEGRUND,1874,1955,1874-1955,human,male,Norway,vicar,0,1,norsk prest.,,
peDiM,Q5283683,228277213,,DITMAR,MEIDELL,DITMAR MEIDELL,1826,1900,1826-1900,human,male,Norway,editor,0,1,norsk redaktør.,,
peHMe,,1110166,,HJALMAR [SIGVARD],MEIDELL,HJALMAR [SIGVARD] MEIDELL,1871,1957,1871-1957,human,male,Norway,"author, doctor",1,0,norsk tannlege og forfatter.,,
peSMe,Q5983438,39367346,,SIMON [SØRENSEN],MEISLING,SIMON [SØRENSEN] MEISLING,1787,1856,1787-1856,human,male,Denmark,philologist,0,1,dansk filolog.,,
peEMe,Q354786,49233513,,[JEAN LOUIS] ERNEST,MEISSONNIER,[JEAN LOUIS] ERNEST MEISSONNIER,1815,1891,1815-1891,human,male,France,"painter, illustrator, lithographer, etching artist",0,1,"fransk maler, raderer, litograf og tegner.",,
peGPM,,,,PETER GABRIEL,MEISTERLIN,PETER GABRIEL MEISTERLIN,1873,1901,1873-1901,human,male,Norway,doctor,1,0,norsk lege.,,
peEM,Q5985676,66448215,,ERNST [LUDWIG FILIP],MEYER,ERNST [LUDWIG FILIP] MEYER,1854,1914,1854-1914,human,male,Sweden,"librarian, literary historian, littérateur",1,1,svensk bibliotekar og litteraturhistoriker.,,
peSM,Q543536,136065,,SOPHUS [AUGUST BERTHEL],MICHAËLIS,SOPHUS [AUGUST BERTHEL] MICHAËLIS,1865,1932,1865-1932,human,male,Denmark,author,1,0,dansk forfatter.,,
peBMi,Q5592,24585191,,,,MICHELANGELO BUONAROTTI,1475,1564,1475-1564,human,male,Italy,"sculptor, painter, architect",0,3,"italiensk billedhugger, maler og arkitekt.",,
peHTM,Q240782,27127837,,HARRIET [TAYLOR],MILL,HARRIET [TAYLOR] MILL,1807,1858,1807-1858,human,female,England,suffragette,0,1,engelsk kvinnesaksforkjemper.,,
peSMi,Q50020,100189299,,JOHN STUART,MILL,JOHN STUART MILL,1806,1873,1806-1873,human,male,United Kingdom of Great Britain and Ireland,"economist, philosopher, political theoretician",0,1,"britisk filosof, sosialøkonom og politisk teoretiker.",,
peMin,,,,MINA,,MINA,,,,human,male,,maid,0,1,"tjenestepike hos Ibsen, ikke identifisert.",,
peHeMi,,,,HEINRICH,MINDEN,HEINRICH MINDEN,,1912,-1912,human,male,Germany,publisher,0,1,tysk forlegger (Anonym 1913).,,
peGML,Q357154,125600,,[MAGNUS GUSTAF] GÖSTA,MITTAG-LEFFLER,[MAGNUS GUSTAF] GÖSTA MITTAG-LEFFLER,1846,1927,1846-1927,human,male,Sweden,mathematician,1,0,svensk matematiker.,,
peSML,Q96678756,,,SIGNE [EMILIA JULIA],MITTAG-LEFFLER,SIGNE [EMILIA JULIA] MITTAG-LEFFLER,1861,1921,1861-1921,human,female,,married to,0,1,svensk matematikerhustru.,[MAGNUS GUSTAF] GÖSTA MITTAG-LEFFLER,peGML
peFM,Q90165,42605500,,FRIEDRICH,MITTERWURZER,FRIEDRICH MITTERWURZER,1842,1897,1842-1897,human,male,"Germany, Austria",actor,0,1,tysk-østerriksk skuespiller.,,
pePM,,,,PAUL,MOCHMANN,PAUL MOCHMANN,,,,human,male,Germany,teacher,0,1,tysk skolemann.,,
peHMod,Q454653,64807810,,HELENA,MODRZEJEWSKA/MODJESKA,HELENA MODRZEJEWSKA/MODJESKA,1840,1909,1840-1909,human,female,"Poland, United States of America",actor,0,1,polsk-amerikansk skuespillerinne.,KAROL CHLAPOWSKI,noID
peAMo,,,,ABRAHAMA [BØCKMANN],MOE,ABRAHAMA [BØCKMANN] MOE,1844,1936,1844-1936,human,female,,married to,1,0,norsk sjømannshustru.,MARCUS MOE,noID
peJMoe,Q470002,36968998,pf01038080002553,JØRGEN [ENGEBRETSEN],MOE,JØRGEN [ENGEBRETSEN] MOE,1813,1882,1813-1882,human,male,Norway,"author, folklore scholar",0,2,"norsk geistlig, forfatter og folklorist.",,
peMoM,Q1720309,24677570,pf01036392062127,[INGEBRET] MOLTKE,MOE,[INGEBRET] MOLTKE MOE,1859,1913,1859-1913,human,male,Norway,folklore scholar,0,6,norsk folklorist.,,
peHMo,Q2587502,106967580,pf01036392044492,HENRIK,MOHN,HENRIK MOHN,1835,1916,1835-1916,human,male,Norway,meteorologist,0,2,norsk meteorolog.,,
peWMo,Q17120006,,,WILHELM,MOHR,WILHELM MOHR,1820,1880,1820-1880,human,male,Norway,merchant,0,1,norsk kjøpmann.,,
peHM,Q5990904,50027362,,[JOHAN] HARALD,MOLANDER,[JOHAN] HARALD MOLANDER,1858,1900,1858-1900,human,male,Sweden,"author, theatre personnel",4,6,svensk forfatter og teatermann.,,
peCKFM,Q687173,46826881,,CHRISTIAN KNUD FREDERIK,MOLBECH,CHRISTIAN KNUD FREDERIK MOLBECH,1821,1888,1821-1888,human,male,Denmark,"author, critic",6,25,dansk forfatter og kritiker.,,
peFrkMol,,,,frøken,MOLBECH,frøken MOLBECH,,,,human,male,,,0,1,"Datter av C.K.F. Molech, sannsynligvis Johanne Charlotte eller Helga Marie, jf. kommentar til revet. ",,
peMMo,,,,MATHILDE,MOLBECH,MATHILDE MOLBECH,1841,1908,1841-1908,human,female,,married to,0,2,dansk forfatterhustru.,CHRISTIAN KNUD FREDERIK MOLBECH,peCKFM
peHCBM,Q44205,98817698,,HELMUTH [CARL BERNHARD GRAF] VON,MOLTKE,HELMUTH [CARL BERNHARD GRAF] VON MOLTKE,1800,1891,1800-1891,human,male,,military officer,0,1,prøyssisk offiser.,,
peTMom,Q25351,7402506,,[CHRISTIAN MATHIAS] THEODOR,MOMMSEN,[CHRISTIAN MATHIAS] THEODOR MOMMSEN,1817,1903,1817-1903,human,male,Germany,scholar of antiquity,0,1,tysk oldtidsforsker.,,
peDGMo,Q694093,72192281,,DITLEV GOTHARDT,MONRAD,DITLEV GOTHARDT MONRAD,1811,1887,1811-1887,human,male,Denmark,bishop,0,1,dansk statsminister og biskop.,,
peMaMo,Q981668,72163383,pf01053257025874,MARCUS [JACOB],MONRAD,MARCUS [JACOB] MONRAD,1816,1897,1816-1897,human,male,Norway,philosopher,0,4,norsk filosof.,,
peEnMo,Q95249674,3240452,,ENRICO,MONTECORBOLI,ENRICO MONTECORBOLI,1839,,1839-,human,male,Italy,"journalist, playwright",0,1,"italiensk dramatiker og journalist (Anker 2, 106;",,
peCMo,Q44652,68933209,,CHRISTIAN,MORGENSTERN,CHRISTIAN MORGENSTERN,1871,1914,1871-1914,human,male,Germany,"author, translator",1,5,tysk forfatter og oversetter.,,
peBM,Q4960143,32377332,pf01052248000053,BREDO [HENRIK VON MUNTHE AF],MORGENSTIERNE,BREDO [HENRIK VON MUNTHE AF] MORGENSTIERNE,1851,1930,1851-1930,human,male,Norway,"lawyer, economist",3,3,norsk jurist og statsøkonom.,,
